Drug_ID,Target_ID,pair_id,Core5_Votes,Optional_Votes,Total_Votes_Optional7,Supporting_Models,graphdta_score,dtiam_score,drugban_score,deeppurpose_score,deepdtagan_score,moltrans_score,conplex_score,Drug_Name,Drug_Type,target_name,gene_name,uniprot_accession,organism,Predicted_Disease_TXGNN,Disease_Probability_TXGNN,Disease_Type_TXGNN
DB02010,BE0010025,DB02010|BE0010025,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5478,0.3096293807029724,0.99894315,7.4833,13.60923,0.9767761,0.8155197,Staurosporine,small molecule,Sphingosine kinase 2,SPHK2,Q9NRA0,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004922,DB02010|BE0004922,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5391,0.1692363768815994,0.99724376,7.7832,13.63693,0.9869227,0.9376563,Staurosporine,small molecule,Cyclic nucleotide phosphodiesterase,PDE4A,P27815,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004168,DB02010|BE0004168,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.6883,0.0938442647457122,0.9994547,7.6253,13.65039,0.8971437,0.6617195,Staurosporine,small molecule,Endoplasmic reticulum membrane sensor NFE2L1,NFE2L1,Q14494,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0001035,DB02010|BE0001035,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5631,0.2419097870588302,0.9999572,7.6054,13.56634,0.94280624,0.7609491,Staurosporine,small molecule,Protein-glutamine gamma-glutamyltransferase 2,TGM2,P21980,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000742,DB02010|BE0000742,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.4862,0.4664191007614136,0.99989533,7.4621,13.64464,0.97137296,0.78850484,Staurosporine,small molecule,DNA topoisomerase 2-alpha,TOP2A,P11388,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB12526,BE0005865,DB12526|BE0005865,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7225,0.1218653544783592,0.9999018,7.7673,12.67853,0.08193098,0.74509376,Batefenterol,small molecule,Orexin receptor type 2,HCRTR2,O43614,Humans,insomnia (disease),0.989,Standard
DB12323,BE0004741,DB12323|BE0004741,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,13.096,0.0416158959269523,0.9969324,7.6687,12.79874,0.006160955,0.6295737,Radotinib,small molecule,Discoidin domain-containing receptor 2,DDR2,Q16832,Humans,"fibromatosis, gingival",0.9534,Standard
DB08916,BE0000511,DB08916|BE0000511,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.5065,0.9833232164382936,0.9980507,7.5573,13.52458,0.5673118,,Afatinib,small molecule,Receptor tyrosine-protein kinase erbB-2,ERBB2,P04626,Humans,multiple endocrine neoplasia,0.9848,Standard
DB08519,BE0000147,DB08519|BE0000147,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5099,0.2997798025608063,0.9990096,8.5269,12.79905,0.00014218854,0.6742554,"N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine",small molecule,Receptor-type tyrosine-protein kinase FLT3,FLT3,P36888,Humans,thrombocytopenia,0.986,Standard
DB07183,BE0000029,DB07183|BE0000029,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5295,0.9695063233375548,0.99229115,7.5046,12.71064,8.406511e-05,0.5986854,N-(4-phenoxyphenyl)-2-[(pyridin-4-ylmethyl)amino]nicotinamide,small molecule,Vascular endothelial growth factor receptor 1,FLT1,P17948,Humans,osteogenesis imperfecta,0.5,Standard
